rutaImagen,etiqueta,estado,crudo_m00,crudo_m10,crudo_m01,crudo_m20,crudo_m02,crudo_m11,crudo_m30,crudo_m03,crudo_m21,crudo_m12,central_mu20,central_mu02,central_mu11,central_mu30,central_mu03,central_mu21,central_mu12,normalizado_nu20,normalizado_nu02,normalizado_nu11,normalizado_nu30,normalizado_nu03,normalizado_nu21,normalizado_nu12,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24,momentos_tamano,sift_tamano,hog_tamano
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\1.jpg,jeans,exito,4525230.0,517574010.0,441505980.0,63031720080.0,60121336230.0,50129593710.0,8082910578720.0,9503800180650.0,6074881352130.0,6797175362790.0,3834097897.816975,17045618448.63631,-367733609.84447014,-3405247528.5060515,311910613295.8173,9284105826.910156,-7457308595.263672,0.0001872327786274484,0.0008323988042607415,-1.7957753662232877e-05,-7.817124743368683e-08,7.16025531918891e-06,2.1312698349254166e-07,-1.7119081961288913e-07,2.9915566782148018,6.379209222456007,9.845541404168623,9.81127128698077,9.99999999998861,9.999847296142695,-9.999999999999604,0.3183098861837906,0.2887460755609589,0.024778640615341914,0.0853686379377599,0.11290523370106026,0.1328269022468513,0.00193218909488372,0.11455991980620571,0.03429634819431618,0.1089983973900505,0.14933088875480358,0.10876503278282745,0.03956444429286822,0.10714462278780824,0.08704851185469667,0.06178114618296916,0.12525762222393216,0.1508385321494262,0.18681270878693673,0.1229421282290148,0.17875595444521303,0.029784315974949342,0.23921879977116645,0.09146580389343144,0.12510187304047876,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\10.jpg,jeans,exito,4331685.0,511272195.0,444043740.0,64851205005.0,64539473370.0,51892793760.0,8665385388675.0,10671794288400.0,6586426107960.0,7576728946680.0,4505344818.925061,19020271712.17225,-518038889.606169,-52592257647.09539,156252575042.83243,60777577755.63281,65293013085.66016,0.00024011224100402845,0.0010136849117810382,-2.7608869844562438e-05,-1.3467272452032966e-06,4.001151678168676e-06,1.5563283175673494e-06,1.6719548385603537e-06,2.9017726860855055,6.220718395650867,9.851000938809172,9.88275735914273,9.99999999999966,9.999897471639397,-9.999999999995218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\100.jpg,jeans,exito,3608760.0,439153350.0,381579195.0,56389369410.0,50531365845.0,47387585340.0,7572251728590.0,7528538926065.0,6202078564110.0,6295233852900.0,2948391119.33437,10184354113.311546,952859346.984879,-7407809622.820918,31782924089.165825,7731216367.322266,-55479742919.27344,0.00022639617950625672,0.0007820193348408608,7.316658714292461e-05,-2.994296563089005e-07,1.2846914973615087e-06,3.1250201848944246e-07,-2.242536080199398e-06,2.996360438310654,6.481182832838542,9.849421557161401,9.962523234654531,9.999999999999956,-9.999985403486916,-9.999999999999245,0.3183098861837905,0.04217848237395816,0.06350309734288422,0.05960915566423888,0.04287402376599445,0.06035492281949215,0.06181151233536126,0.054485449738785746,0.05465222304529904,0.06672745022149056,0.03300258740164734,0.11285780822088941,0.05141156464140119,0.06891040637469087,0.03098334410040346,0.09966015064416148,0.08977026179681317,0.05863271963466677,0.1212677514709911,0.1467945095972853,0.07358103974941511,0.08788451325912128,0.017789513239368445,0.08784536722811849,0.03878636605422939,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\101.jpg,jeans,exito,3465195.0,414514230.0,338208795.0,52396890510.0,43094958435.0,40949912970.0,6938238362460.0,6356838009285.0,5220385384740.0,5205832670910.0,2811788698.27139,10085217564.615496,492634739.29354143,-2297329909.489876,182030380115.6981,-11498367947.240234,-45444765329.30078,0.00023416787929623752,0.0008399045101785363,4.102699190694632e-05,-1.0277894823424403e-07,8.143754598626814e-06,-5.144190040559357e-07,-2.0331277471308946e-06,2.968966406982358,6.427419121408138,9.638654781646617,9.788428680815828,9.99999999997625,9.999870511350675,-9.999999999993564,0.3183098861837907,0.24812704581646877,0.07094555783870983,0.07311494453862462,0.10236222220407355,0.13596892892293397,0.061357871714507316,0.061050487739203955,0.028114157409375333,0.10448424874767274,0.046551786480355385,0.018679252290771674,0.09418542700187342,0.128646403823168,0.18279842589241424,0.05795528958179564,0.09883521953499243,0.22369471639709898,0.10035205228941159,0.04501664358662996,0.17489150616935764,0.19187650063724043,0.22271430963662717,0.12363799828751058,0.16908717992402303,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\102.jpg,jeans,exito,7110165.0,899286315.0,1065643215.0,143883358065.0,178602408765.0,127020735150.0,25204113399705.0,31594049665665.0,19698241497360.0,20769411744540.0,30142555095.40939,18888047470.214844,-7760716464.991033,-618903289354.9236,-835898773723.3239,96711567989.92969,506254372033.5156,0.0005962394464832022,0.00037361792764889,-0.000153512045503536,-4.591172315228136e-06,-6.200896608986721e-06,7.174294936781895e-07,3.755515760412385e-06,3.0132920829975465,6.841866377735678,9.375467331864332,9.883502724686151,9.999999999999586,-9.999959385966736,9.999999999986722,0.3183098861837906,0.01967595648225115,0.015498617354492289,0.007853548711207175,0.04968739194573951,0.08436405459457447,0.044344490399376546,0.025136236486287128,0.06047518492785325,0.08944381566746469,0.1160443332536835,0.08189963766973735,0.0888256561289511,0.11867207034794823,0.07898497079823705,0.05791351685249719,0.10962733154625612,0.09071463464227164,0.07152220043561708,0.05735650175272473,0.11625868915757552,0.22715635038181745,0.06995116933519281,0.15346292413409532,0.06008557475985739,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\103.jpg,jeans,exito,4054755.0,453075075.0,373299855.0,54025382985.0,49566465225.0,41825349645.0,6795768293955.0,7682206539525.0,5005405124265.0,5569583674785.0,3399137111.635119,15198721244.655684,113122937.93283583,-618430128.533783,320352332554.21747,6293216937.3671875,10237301956.859375,0.00020674710981677483,0.0009244380520831097,6.88052282196576e-06,-1.868009558875738e-08,9.6764564307078e-06,1.9009082599115998e-07,3.0922455149217326e-07,2.9464662618898654,6.287881156330485,9.735611558041965,9.7045798794948,9.999999999961764,9.999696600903365,-9.999999999999417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\104.jpg,jeans,exito,4054755.0,453075075.0,373299855.0,54025382985.0,49566465225.0,41825349645.0,6795768293955.0,7682206539525.0,5005405124265.0,5569583674785.0,3399137111.635119,15198721244.655684,113122937.93283583,-618430128.533783,320352332554.21747,6293216937.3671875,10237301956.859375,0.00020674710981677483,0.0009244380520831097,6.88052282196576e-06,-1.868009558875738e-08,9.6764564307078e-06,1.9009082599115998e-07,3.0922455149217326e-07,2.9464662618898654,6.287881156330485,9.735611558041965,9.7045798794948,9.999999999961764,9.999696600903365,-9.999999999999417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\105.jpg,jeans,exito,3733455.0,522545490.0,417386805.0,76067411880.0,56383454685.0,58293220320.0,11453526297000.0,8375879238495.0,8505823961490.0,7786313320710.0,2930387563.558497,9721115112.644627,-125481000.42825177,-13386957464.184593,-101158883470.40387,36887025728.53906,-77226410866.3086,0.00021023412922335379,0.0006974197530053198,-9.002354905940817e-06,-4.970551533200715e-07,-3.756009867633618e-06,1.3696081636229504e-06,-2.8674017674448448e-06,3.042079682590038,6.623835633237039,9.642924919049507,9.931760380138833,-9.999999999998378,-9.999986843813218,9.999999999996962,0.3183098861837906,0.05015123492111959,0.002649511164852504,0.06319286423578542,0.10365983162136085,0.06376277152301979,0.04862028257768276,0.08909249293516511,0.009539001456829252,0.14650455928758668,0.1251845129965162,0.040254495914665185,0.1592448758285655,0.08982276778910962,0.04843781888020563,0.09389808696574103,0.1348152090106392,0.1714642329376934,0.05737934123904075,0.1520637787615655,0.29658681589468056,0.08363779383850893,0.13603372587794327,0.20213888270325595,0.11495360544671229,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\106.jpg,jeans,exito,3171435.0,363380100.0,320252205.0,43803408870.0,43349351025.0,38242427775.0,5550280620270.0,6637277879265.0,4808298459705.0,5270676677775.0,2167651846.4412613,11010212809.22007,1548225220.5978107,34591291946.54123,36223432171.11265,30232143321.166016,-8932266398.767578,0.0002155151973780964,0.0010946721867026573,0.00015392973025196813,1.9311999692186086e-06,2.0223208546808804e-06,1.687832716438514e-06,-4.986802060186474e-07,2.8826665535994134,6.061583127084333,9.917233518744116,9.936226367343805,-9.99999999999879,9.999941069619856,-9.999999999999678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\107.jpg,jeans,exito,4913085.0,659381040.0,397047240.0,95929747950.0,44669015550.0,54399627360.0,14847177021570.0,5931296518230.0,7997595382230.0,6130373981400.0,7434768540.630602,12581943823.861006,1112248444.241443,-23102608269.3883,287803381872.15155,-53442352563.46484,-44388368344.79297,0.0003080058016148889,0.0005212417403666899,4.607796083917387e-05,-4.317927237833301e-07,5.379107186667482e-06,-9.988490784109423e-07,-8.296281635564167e-07,3.0813157547507104,7.267105646708544,9.75849532342345,9.918012728129352,9.999999999997073,9.999988128283567,-9.999999999997996,0.3183098861837906,0.03736848744724299,0.006953185462046693,0.0035879661425038865,0.08402409837419766,0.008808269609913832,0.00203701459526105,0.013258208027836992,0.011459366237747624,0.12491884387080447,0.036831447983505065,0.15878022271929165,0.015324936910097408,0.02330992475530314,0.038516350039531654,0.15455352290207727,0.09502121842774476,0.03393686248402878,0.15675086726389592,0.0817667473419347,0.019425305283045532,0.02077087992273531,0.06713159938451074,0.15868695526257334,0.07572816595054997,56,57,756
