rutaImagen,etiqueta,estado,m00,m10,m01,m20,m02,m11,m30,m03,m21,m12,mu20,mu02,mu11,mu30,mu03,mu21,mu12,nu20,nu02,nu11,nu30,nu03,nu21,nu12
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\1.jpg,jeans,exito,4525230.0,517574010.0,441505980.0,63031720080.0,60121336230.0,50129593710.0,8082910578720.0,9503800180650.0,6074881352130.0,6797175362790.0,3834097897.816975,17045618448.63631,-367733609.84447014,-3405247528.5060515,311910613295.8173,9284105826.910156,-7457308595.263672,0.0001872327786274484,0.0008323988042607415,-1.7957753662232877e-05,-7.817124743368683e-08,7.16025531918891e-06,2.1312698349254166e-07,-1.7119081961288913e-07
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\10.jpg,jeans,exito,4331685.0,511272195.0,444043740.0,64851205005.0,64539473370.0,51892793760.0,8665385388675.0,10671794288400.0,6586426107960.0,7576728946680.0,4505344818.925061,19020271712.17225,-518038889.606169,-52592257647.09539,156252575042.83243,60777577755.63281,65293013085.66016,0.00024011224100402845,0.0010136849117810382,-2.7608869844562438e-05,-1.3467272452032966e-06,4.001151678168676e-06,1.5563283175673494e-06,1.6719548385603537e-06
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\100.jpg,jeans,exito,3608760.0,439153350.0,381579195.0,56389369410.0,50531365845.0,47387585340.0,7572251728590.0,7528538926065.0,6202078564110.0,6295233852900.0,2948391119.33437,10184354113.311546,952859346.984879,-7407809622.820918,31782924089.165825,7731216367.322266,-55479742919.27344,0.00022639617950625672,0.0007820193348408608,7.316658714292461e-05,-2.994296563089005e-07,1.2846914973615087e-06,3.1250201848944246e-07,-2.242536080199398e-06
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\101.jpg,jeans,exito,3465195.0,414514230.0,338208795.0,52396890510.0,43094958435.0,40949912970.0,6938238362460.0,6356838009285.0,5220385384740.0,5205832670910.0,2811788698.27139,10085217564.615496,492634739.29354143,-2297329909.489876,182030380115.6981,-11498367947.240234,-45444765329.30078,0.00023416787929623752,0.0008399045101785363,4.102699190694632e-05,-1.0277894823424403e-07,8.143754598626814e-06,-5.144190040559357e-07,-2.0331277471308946e-06
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\102.jpg,jeans,exito,7110165.0,899286315.0,1065643215.0,143883358065.0,178602408765.0,127020735150.0,25204113399705.0,31594049665665.0,19698241497360.0,20769411744540.0,30142555095.40939,18888047470.214844,-7760716464.991033,-618903289354.9236,-835898773723.3239,96711567989.92969,506254372033.5156,0.0005962394464832022,0.00037361792764889,-0.000153512045503536,-4.591172315228136e-06,-6.200896608986721e-06,7.174294936781895e-07,3.755515760412385e-06
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\103.jpg,jeans,exito,4054755.0,453075075.0,373299855.0,54025382985.0,49566465225.0,41825349645.0,6795768293955.0,7682206539525.0,5005405124265.0,5569583674785.0,3399137111.635119,15198721244.655684,113122937.93283583,-618430128.533783,320352332554.21747,6293216937.3671875,10237301956.859375,0.00020674710981677483,0.0009244380520831097,6.88052282196576e-06,-1.868009558875738e-08,9.6764564307078e-06,1.9009082599115998e-07,3.0922455149217326e-07
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\104.jpg,jeans,exito,4054755.0,453075075.0,373299855.0,54025382985.0,49566465225.0,41825349645.0,6795768293955.0,7682206539525.0,5005405124265.0,5569583674785.0,3399137111.635119,15198721244.655684,113122937.93283583,-618430128.533783,320352332554.21747,6293216937.3671875,10237301956.859375,0.00020674710981677483,0.0009244380520831097,6.88052282196576e-06,-1.868009558875738e-08,9.6764564307078e-06,1.9009082599115998e-07,3.0922455149217326e-07
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\105.jpg,jeans,exito,3733455.0,522545490.0,417386805.0,76067411880.0,56383454685.0,58293220320.0,11453526297000.0,8375879238495.0,8505823961490.0,7786313320710.0,2930387563.558497,9721115112.644627,-125481000.42825177,-13386957464.184593,-101158883470.40387,36887025728.53906,-77226410866.3086,0.00021023412922335379,0.0006974197530053198,-9.002354905940817e-06,-4.970551533200715e-07,-3.756009867633618e-06,1.3696081636229504e-06,-2.8674017674448448e-06
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\106.jpg,jeans,exito,3171435.0,363380100.0,320252205.0,43803408870.0,43349351025.0,38242427775.0,5550280620270.0,6637277879265.0,4808298459705.0,5270676677775.0,2167651846.4412613,11010212809.22007,1548225220.5978107,34591291946.54123,36223432171.11265,30232143321.166016,-8932266398.767578,0.0002155151973780964,0.0010946721867026573,0.00015392973025196813,1.9311999692186086e-06,2.0223208546808804e-06,1.687832716438514e-06,-4.986802060186474e-07
C:\Users\damba\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\107.jpg,jeans,exito,4913085.0,659381040.0,397047240.0,95929747950.0,44669015550.0,54399627360.0,14847177021570.0,5931296518230.0,7997595382230.0,6130373981400.0,7434768540.630602,12581943823.861006,1112248444.241443,-23102608269.3883,287803381872.15155,-53442352563.46484,-44388368344.79297,0.0003080058016148889,0.0005212417403666899,4.607796083917387e-05,-4.317927237833301e-07,5.379107186667482e-06,-9.988490784109423e-07,-8.296281635564167e-07
