rutaImagen,etiqueta,estado,crudo_m00,crudo_m10,crudo_m01,crudo_m20,crudo_m02,crudo_m11,crudo_m30,crudo_m03,crudo_m21,crudo_m12,central_mu20,central_mu02,central_mu11,central_mu30,central_mu03,central_mu21,central_mu12,normalizado_nu20,normalizado_nu02,normalizado_nu11,normalizado_nu30,normalizado_nu03,normalizado_nu21,normalizado_nu12,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24,momentos_tamano,sift_tamano,hog_tamano
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000000.jpg,pliers,exito,2477070.0,276979725.0,255983790.0,39747920235.0,36643279680.0,29907297600.0,6414458984325.0,6051671261310.0,4424962982040.0,4918595296530.0,8776745394.936691,10189565920.290302,1283835300.3242764,7159607326.612221,158897534294.66086,30248273440.23828,555889526935.2441,0.0014303981538439391,0.001660653878516605,0.00020923423897917123,7.413845047778287e-07,1.64539987180006e-05,3.132238990470828e-06,5.756291690833244e-05,2.5098936702503196,6.641620484523025,7.527014005921298,8.410831237022526,-9.999999896209104,9.998866444981118,9.999999860468709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000001.jpg,pliers,exito,2183565.0,253133910.0,240709035.0,35051772660.0,31153468575.0,31346080530.0,5306125869720.0,4424514068055.0,4612846834650.0,4335744876930.0,5706744510.21371,4618495019.996495,3441429556.9917083,-80447632025.88979,-27997451603.173344,-49053961309.69922,-34523782725.09766,0.001196895352952673,0.000968653006486505,0.0007217829774760846,-1.1418208104112352e-05,-3.9737742521366825e-06,-6.962396834563961e-06,-4.900078793735807e-06,2.664432093424993,5.670383048396558,9.401389638192875,9.313465323457006,9.999999999432829,9.997623469017748,-9.999999999994992,0.3183098861837906,0.039984556368849164,0.0016688354646825563,0.06438105893481114,0.0855329739457668,0.059823928147609465,0.026283460782488242,0.09167758743576122,0.013734220133145725,0.12198212888855897,0.1117723128210767,0.041387284329704795,0.09766758380672852,0.09769258264444607,0.03174016265334273,0.09136907456930762,0.10104049975474279,0.13828243398328532,0.05066778679208227,0.14875354476809818,0.18347809718234875,0.10291574813155353,0.091000022948514,0.18920910921004555,0.11487359741232882,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000002.jpg,pliers,exito,2244000.0,248636475.0,256796985.0,33390426495.0,32446625085.0,25482190035.0,4997241828135.0,4353760279875.0,3219242667495.0,2904442583325.0,5841363794.275569,3059507658.4892044,-2971061810.37784,3110745930.895477,-59582046248.99441,56527791959.71094,-10662165549.166016,0.0011600282063866823,0.0006075833155575105,-0.0005900189791866923,4.123893207444477e-07,-7.898748443950844e-06,7.493848178960111e-06,-1.4134755155718196e-06,2.752613151639254,5.770117322939897,8.981045448033122,9.99496491554881,-9.999999999999838,-9.999997856510966,-9.999999999999956,0.3183098861837906,0.013702727055301294,0.016438166564523245,0.00905924860859131,0.03243108440109295,0.08520106681399622,0.05208137631261633,0.00953006086288094,0.05056967571575412,0.05838157730002882,0.10753193963856708,0.07331765786119157,0.119913198874522,0.0616130511160139,0.03599622264422488,0.04501703263095586,0.06082039783896394,0.052750795525942216,0.038450383235503836,0.046821802526422165,0.1925746011797691,0.11709215111021733,0.030408643800322405,0.11206817053585852,0.0728844390816102,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000003.jpg,pliers,exito,4520130.0,529007190.0,613127610.0,83816673180.0,94662083790.0,71191440090.0,14668724287860.0,15746234992740.0,11042428787520.0,10982608195740.0,21905045179.98759,11495124843.175003,-565105424.7342876,-267898231642.03168,-212574606824.05344,-194510601262.98047,57267670498.08984,0.0010721172962654788,0.0005626156926787906,-2.7658436451187574e-05,-6.167263913004481e-06,-4.893663140109403e-06,-4.4778131028087505e-06,1.3183544940924806e-06,2.7865531466498137,6.580454233207521,9.560052955368567,9.6750255108468,-9.99999999994284,-9.99983589048753,-9.999999999963968,0.3183098861837905,0.1942607596596486,0.08228216008211503,0.026874852007129184,0.06299259421665512,0.0724895557771309,0.08763647999892263,0.11145638016258794,0.09094659927405159,0.09792823583693576,0.1433779430664498,0.10629338972489019,0.013665655919906422,0.13725465431535597,0.07225367840721887,0.11296628665587008,0.141382222849751,0.17824804206021594,0.12256265099878473,0.12814277406242255,0.09728430188640715,0.27396900460528134,0.23127398946415906,0.19876072909304154,0.11989397375587109,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000004.jpg,pliers,exito,1952025.0,195486570.0,224089410.0,22731098820.0,29319096750.0,24254686845.0,2970150044670.0,4183559263290.0,2956306076055.0,3291112365255.0,3153993480.485958,3593983765.2031345,1813135054.3089497,62015530379.47051,-7394487521.755182,-16343161865.999023,-61354118676.54199,0.0008277325623547463,0.0009432034052824333,0.00047583830901486884,1.1648956503142623e-05,-1.388975680396212e-06,-3.0698887929508877e-06,-1.1524717363189474e-05,2.7517971169429356,6.036626885387851,8.638699309809764,9.92119201758513,-9.99999999999551,9.99999461670989,-9.999999999982498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000005.jpg,pliers,exito,1114605.0,110774805.0,125568630.0,13639929855.0,14277828930.0,12497776440.0,1919859425205.0,1638213131610.0,1541237595000.0,1424932873260.0,2630597021.5854497,131579056.65751627,18162135.051476035,41374837301.01512,61659225.77487971,986906078.0322266,1841370551.25,0.002117446032334062,0.00010591190865478838,1.4619244410261381e-05,3.154523969311077e-05,4.701057897120704e-08,7.524425669548349e-07,1.4039082493646839e-06,2.65299059456376,5.392842713165718,9.06955707105278,8.925810786940222,9.999999995736193,9.99061680580288,9.999999999966256,0.31830988618379064,0.38022033622481055,0.2547230656568849,0.13589224821311688,0.09369700278096017,0.18862227072570917,0.012833837694941,0.2649957401001872,0.2476408695834326,0.2066789221832601,0.2574517787024855,0.0893288340400908,0.2280660191090874,0.304581616513929,0.168861211945446,0.09818073985990321,0.369240203596272,0.27454188517600486,0.18128285678932865,0.05715115656231727,0.07042014202838996,0.5318621755543417,0.3598430322280701,0.040888431993995916,0.3108022206200922,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000006.jpg,pliers,exito,1686315.0,192440850.0,193520265.0,25272104460.0,25055385825.0,19499618715.0,3622989192270.0,3554224268685.0,2302180520265.0,2268520760475.0,3310916456.14396,2847143020.0257077,-2584751221.1182504,-16720125247.696136,25414616877.482563,-8088265902.361328,2469481383.4921875,0.0011643158674629164,0.001001225442883263,-0.0009089528232002225,-4.5278576892181385e-06,6.882350864153873e-06,-2.190325515862618e-06,6.687426143633008e-07,2.6644335071025127,5.477362864457168,9.489875692169395,9.86357158293524,-9.999999999988185,9.999719222596537,-9.999999999991484,0.31830988618379075,0.23207098573843124,0.2158072623990744,0.11165118631427436,0.08887516865579974,0.07788939398331103,0.1342343744101855,0.03046963878562238,0.11847487365680585,0.1952426179928359,0.132311236985084,0.16261309078660938,0.3569085294119223,0.07119577003963652,0.1619692026567051,0.2157937899842011,0.19494758052928643,0.21844579464154373,0.17391673404121466,0.16622718423779717,0.23041772067822044,0.07415793131220935,0.2614212835857431,0.2724057878910575,0.02458851712559317,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000007.jpg,pliers,exito,2994720.0,322872840.0,321287505.0,42702054180.0,43599099555.0,34299808515.0,6276240035100.0,6724280897295.0,4491154460415.0,4270867115715.0,7891831251.089917,9129880105.727602,-339493054.3835164,-29340935612.04675,87774407035.71751,-16916502015.164062,-356882838187.25586,0.0008799648896422895,0.0010180113694871992,-3.785458135507604e-05,-1.890529248821466e-06,5.655582561956656e-06,-1.089983709799771e-06,-2.2995089622104947e-05,2.7217092013731903,7.603997648975373,8.329627103192234,9.130686875602295,-9.999999995637603,-9.999716020783913,-9.999999998093147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000008.jpg,pliers,exito,6315330.0,724253805.0,666031440.0,107715512625.0,89446935480.0,74001297840.0,17890724995065.0,13667096615070.0,10900342160220.0,9823718100540.0,24656737540.091053,19205494562.664948,-2380428003.2463846,-117651739132.00163,182861010549.04883,86362541386.55469,67869461538.953125,0.0006182206597765864,0.00048154114065418734,-5.968469138809706e-05,-1.1738381734788057e-06,1.8244459130566208e-06,8.616587275810751e-07,6.771490617617646e-07,2.9587013298617117,7.481086949378794,9.95525544623632,9.968745653948083,-9.999999999999794,-9.999997246885535,-9.999999999999792,0.3183098861837905,0.01371037050162831,0.01791784692234077,0.03657268049904942,0.019950118439018488,0.04273893465984266,0.003218107809939515,0.061448658658381894,0.04224542774640901,0.040026309971996264,0.04003346643261833,0.09644940455523687,0.06027033108973331,0.08435046789812378,0.1067274286951168,0.09845945310264977,0.07542124531300654,0.04553288534051762,0.07901692862513644,0.11480953610402904,0.15034866992101478,0.09960677033373662,0.1997726120765941,0.14573096954755915,0.1176693971861128,56,57,756
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000009.jpg,pliers,exito,2879205.0,327860385.0,294899340.0,46901702475.0,39787890210.0,34365466425.0,7500469646535.0,6253382442000.0,4929219716235.0,5159035482225.0,9567635587.665398,9583156357.27482,784734539.4114782,-19282370161.38317,215064387996.9824,-53352848477.259766,467563913481.6738,0.0011541425428904877,0.0011560148111578674,9.466241774278929e-05,-1.370815309664293e-06,1.528927995689392e-05,-3.792941474243572e-06,3.323988521550366e-05,2.636358418768481,7.444332531216508,7.957405938528156,8.903853830063353,-9.999999987456368,9.99940509992056,9.999999987573824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
