rutaImagen,etiqueta,estado,m00,m10,m01,m20,m02,m11,m30,m03,m21,m12,mu20,mu02,mu11,mu30,mu03,mu21,mu12,nu20,nu02,nu11,nu30,nu03,nu21,nu12
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000000.jpg,pliers,exito,2477070.0,276979725.0,255983790.0,39747920235.0,36643279680.0,29907297600.0,6414458984325.0,6051671261310.0,4424962982040.0,4918595296530.0,8776745394.936691,10189565920.290302,1283835300.3242764,7159607326.612221,158897534294.66086,30248273440.23828,555889526935.2441,0.0014303981538439391,0.001660653878516605,0.00020923423897917123,7.413845047778287e-07,1.64539987180006e-05,3.132238990470828e-06,5.756291690833244e-05
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000001.jpg,pliers,exito,2183565.0,253133910.0,240709035.0,35051772660.0,31153468575.0,31346080530.0,5306125869720.0,4424514068055.0,4612846834650.0,4335744876930.0,5706744510.21371,4618495019.996495,3441429556.9917083,-80447632025.88979,-27997451603.173344,-49053961309.69922,-34523782725.09766,0.001196895352952673,0.000968653006486505,0.0007217829774760846,-1.1418208104112352e-05,-3.9737742521366825e-06,-6.962396834563961e-06,-4.900078793735807e-06
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000002.jpg,pliers,exito,2244000.0,248636475.0,256796985.0,33390426495.0,32446625085.0,25482190035.0,4997241828135.0,4353760279875.0,3219242667495.0,2904442583325.0,5841363794.275569,3059507658.4892044,-2971061810.37784,3110745930.895477,-59582046248.99441,56527791959.71094,-10662165549.166016,0.0011600282063866823,0.0006075833155575105,-0.0005900189791866923,4.123893207444477e-07,-7.898748443950844e-06,7.493848178960111e-06,-1.4134755155718196e-06
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000003.jpg,pliers,exito,4520130.0,529007190.0,613127610.0,83816673180.0,94662083790.0,71191440090.0,14668724287860.0,15746234992740.0,11042428787520.0,10982608195740.0,21905045179.98759,11495124843.175003,-565105424.7342876,-267898231642.03168,-212574606824.05344,-194510601262.98047,57267670498.08984,0.0010721172962654788,0.0005626156926787906,-2.7658436451187574e-05,-6.167263913004481e-06,-4.893663140109403e-06,-4.4778131028087505e-06,1.3183544940924806e-06
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000004.jpg,pliers,exito,1952025.0,195486570.0,224089410.0,22731098820.0,29319096750.0,24254686845.0,2970150044670.0,4183559263290.0,2956306076055.0,3291112365255.0,3153993480.485958,3593983765.2031345,1813135054.3089497,62015530379.47051,-7394487521.755182,-16343161865.999023,-61354118676.54199,0.0008277325623547463,0.0009432034052824333,0.00047583830901486884,1.1648956503142623e-05,-1.388975680396212e-06,-3.0698887929508877e-06,-1.1524717363189474e-05
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000005.jpg,pliers,exito,1114605.0,110774805.0,125568630.0,13639929855.0,14277828930.0,12497776440.0,1919859425205.0,1638213131610.0,1541237595000.0,1424932873260.0,2630597021.5854497,131579056.65751627,18162135.051476035,41374837301.01512,61659225.77487971,986906078.0322266,1841370551.25,0.002117446032334062,0.00010591190865478838,1.4619244410261381e-05,3.154523969311077e-05,4.701057897120704e-08,7.524425669548349e-07,1.4039082493646839e-06
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000006.jpg,pliers,exito,1686315.0,192440850.0,193520265.0,25272104460.0,25055385825.0,19499618715.0,3622989192270.0,3554224268685.0,2302180520265.0,2268520760475.0,3310916456.14396,2847143020.0257077,-2584751221.1182504,-16720125247.696136,25414616877.482563,-8088265902.361328,2469481383.4921875,0.0011643158674629164,0.001001225442883263,-0.0009089528232002225,-4.5278576892181385e-06,6.882350864153873e-06,-2.190325515862618e-06,6.687426143633008e-07
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000007.jpg,pliers,exito,2994720.0,322872840.0,321287505.0,42702054180.0,43599099555.0,34299808515.0,6276240035100.0,6724280897295.0,4491154460415.0,4270867115715.0,7891831251.089917,9129880105.727602,-339493054.3835164,-29340935612.04675,87774407035.71751,-16916502015.164062,-356882838187.25586,0.0008799648896422895,0.0010180113694871992,-3.785458135507604e-05,-1.890529248821466e-06,5.655582561956656e-06,-1.089983709799771e-06,-2.2995089622104947e-05
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000008.jpg,pliers,exito,6315330.0,724253805.0,666031440.0,107715512625.0,89446935480.0,74001297840.0,17890724995065.0,13667096615070.0,10900342160220.0,9823718100540.0,24656737540.091053,19205494562.664948,-2380428003.2463846,-117651739132.00163,182861010549.04883,86362541386.55469,67869461538.953125,0.0006182206597765864,0.00048154114065418734,-5.968469138809706e-05,-1.1738381734788057e-06,1.8244459130566208e-06,8.616587275810751e-07,6.771490617617646e-07
C:\Users\damba\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000009.jpg,pliers,exito,2879205.0,327860385.0,294899340.0,46901702475.0,39787890210.0,34365466425.0,7500469646535.0,6253382442000.0,4929219716235.0,5159035482225.0,9567635587.665398,9583156357.27482,784734539.4114782,-19282370161.38317,215064387996.9824,-53352848477.259766,467563913481.6738,0.0011541425428904877,0.0011560148111578674,9.466241774278929e-05,-1.370815309664293e-06,1.528927995689392e-05,-3.792941474243572e-06,3.323988521550366e-05
